y_mm,dose_matrad_Gy,dose_pymatrad_Gy,diff_Gy,err_pct
134.0,0.000000,0.000000,0.000000,nan
137.0,0.000000,0.000000,0.000000,nan
140.0,0.000000,0.000000,0.000000,nan
143.0,0.000000,0.000000,0.000000,nan
146.0,0.000000,0.000000,0.000000,nan
149.0,0.000000,0.000000,0.000000,nan
152.0,0.000000,0.000000,0.000000,nan
155.0,0.000000,0.000000,0.000000,nan
158.0,0.000000,0.000000,0.000000,nan
161.0,0.000000,0.000000,0.000000,nan
164.0,0.000000,0.000000,0.000000,nan
167.0,0.000000,0.000000,0.000000,nan
170.0,0.000000,0.000000,0.000000,nan
173.0,0.000000,0.000000,0.000000,nan
176.0,0.000000,0.000000,0.000000,nan
179.0,0.000000,0.000000,0.000000,nan
182.0,0.000000,0.000000,0.000000,nan
185.0,0.000000,0.000000,0.000000,nan
188.0,0.000000,0.000000,0.000000,nan
191.0,0.000000,0.000000,0.000000,nan
194.0,0.000000,0.000000,0.000000,nan
197.0,0.000000,0.000000,0.000000,nan
200.0,0.000000,0.000000,0.000000,nan
203.0,0.000000,0.000000,0.000000,nan
206.0,0.000000,0.000000,0.000000,nan
209.0,0.000000,0.000000,0.000000,nan
212.0,0.000000,0.000000,0.000000,nan
215.0,0.000000,0.000000,0.000000,nan
218.0,0.000000,0.000000,0.000000,nan
221.0,0.000000,0.000000,0.000000,nan
224.0,0.000000,0.000000,0.000000,nan
227.0,0.000000,0.000000,0.000000,nan
230.0,0.000000,0.000000,0.000000,nan
233.0,0.000000,0.000000,0.000000,nan
236.0,0.000000,0.000000,0.000000,nan
239.0,0.000000,0.000000,0.000000,nan
242.0,0.000000,0.000000,0.000000,nan
245.0,0.000000,0.000000,0.000000,nan
248.0,0.000000,0.000000,0.000000,nan
